ros_time_s,Vel_Des
1758472713.725530148,"2.83,0.67"
1758472713.826744556,"2.83,0.67"
1758472713.928259850,"2.83,0.67"
1758472714.027902365,"2.83,0.67"
1758472714.127625942,"2.83,0.67"
1758472714.227051020,"2.83,0.67"
1758472714.325511217,"2.83,0.67"
1758472714.426849604,"2.83,0.67"
1758472714.526829004,"2.83,0.67"
1758472714.626199245,"2.83,0.67"
1758472714.726640701,"2.83,0.67"
1758472714.826133966,"2.83,0.67"
1758472714.926996231,"2.83,0.67"
1758472715.024689913,"2.83,0.67"
1758472715.125364065,"2.83,0.67"
1758472715.226423740,"2.83,0.67"
1758472715.327231169,"2.83,0.67"
1758472715.424729109,"2.83,0.67"
1758472715.525186777,"2.83,0.67"
1758472715.625594854,"2.83,0.67"
1758472715.727218390,"2.83,0.67"
1758472715.828763962,"2.83,0.67"
1758472715.926569939,"2.83,0.67"
1758472716.026210070,"2.83,0.67"
1758472716.126105547,"2.83,0.67"
1758472716.224862576,"2.83,0.67"
1758472716.326770544,"2.83,0.67"
1758472716.426306725,"2.83,0.67"
1758472716.525441170,"2.83,0.67"
1758472716.625446796,"2.83,0.67"
1758472716.725102663,"2.83,0.67"
1758472716.827742100,"2.83,0.67"
1758472717.025972843,"2.83,0.67"
1758472717.124383211,"2.83,0.67"
1758472717.324697018,"2.83,0.67"
1758472717.527276754,"2.83,0.67"
1758472717.625245094,"2.83,0.67"
1758472717.825773239,"2.83,0.67"
1758472717.924691200,"2.83,0.67"
1758472718.128003597,"2.83,0.67"
1758472718.226393461,"2.83,0.67"
1758472718.324829102,"2.83,0.67"
1758472718.425773621,"2.83,0.67"
1758472718.525261879,"2.83,0.67"
1758472718.626028776,"2.83,0.67"
1758472718.727449179,"2.83,0.67"
1758472718.828302383,"2.83,0.67"
1758472718.924767733,"2.83,0.67"
1758472719.025779724,"2.83,0.67"
1758472719.124728680,"2.83,0.67"
1758472719.227300406,"2.83,0.67"
1758472719.328398943,"2.83,0.67"
1758472719.427521944,"2.83,0.67"
1758472719.524728298,"2.83,0.67"
1758472719.625646114,"2.83,0.67"
1758472719.727603197,"2.83,0.67"
1758472719.828865767,"2.23,0.67"
1758472719.927470684,"0.69,2.03"
1758472720.032878399,"1.89,1.93"
1758472720.131088495,"1.92,1.72"
1758472720.229578257,"2.38,0.67"
1758472720.325581789,"2.06,0.69"
1758472720.429117203,"0.68,1.99"
1758472720.532058001,"1.95,0.67"
1758472720.632732391,"1.92,1.66"
1758472720.725651979,"2.83,0.67"
1758472720.833027840,"1.74,1.93"
1758472720.926180840,"2.83,0.67"
1758472721.033361197,"1.94,0.67"
1758472721.132056236,"2.06,0.69"
1758472721.234559059,"1.80,1.93"
1758472721.330633402,"2.83,0.67"
1758472721.427413702,"2.83,0.67"
1758472721.526684046,"2.83,0.67"
1758472721.635356188,"1.93,0.67"
1758472721.730031967,"2.74,0.67"
1758472721.827252150,"2.83,0.67"
1758472721.935145617,"1.92,1.93"
1758472722.029403687,"2.10,0.69"
1758472722.129501581,"2.83,0.67"
1758472722.227541447,"2.83,0.67"
1758472722.333274603,"1.92,1.66"
1758472722.427298546,"2.83,0.67"
1758472722.534299612,"1.92,1.70"
1758472722.628753662,"2.83,0.67"
1758472722.727732658,"2.83,0.67"
1758472722.828042984,"0.67,2.83"
1758472722.926329136,"2.83,0.67"
1758472723.029100180,"2.83,0.67"
1758472723.127638578,"2.83,0.67"
1758472723.227027178,"2.83,0.67"
1758472723.329907894,"2.83,0.67"
1758472723.429972410,"2.83,0.67"
1758472723.527855635,"2.83,0.67"
1758472723.629725695,"0.69,2.09"
1758472723.726908445,"2.83,0.67"
1758472723.828609228,"2.83,0.67"
1758472723.929168463,"2.83,0.67"
1758472724.028967381,"2.83,0.67"
1758472724.127765417,"2.83,0.67"
1758472724.236387014,"1.93,1.87"
1758472724.327012777,"2.83,0.67"
1758472724.429857016,"2.83,0.67"
1758472724.529173613,"2.83,0.67"
1758472724.630881548,"2.83,0.67"
1758472724.727648258,"2.83,0.67"
1758472724.829267263,"2.83,0.67"
1758472724.929581404,"2.83,0.67"
1758472725.029161215,"2.83,0.67"
1758472725.139360428,"0.67,2.83"
1758472725.228518724,"0.67,2.83"
1758472725.328223228,"2.83,0.67"
1758472725.430100679,"2.83,0.67"
1758472725.527457237,"0.67,2.83"
1758472725.632252932,"0.67,2.83"
1758472725.728283167,"0.67,2.83"
1758472725.828331709,"2.83,0.67"
1758472725.930545092,"0.67,2.83"
1758472726.031147242,"2.83,0.67"
1758472726.130038261,"2.83,0.67"
1758472726.228847027,"0.67,2.83"
1758472726.329181194,"0.67,2.83"
1758472726.430156231,"2.83,0.67"
1758472726.527945518,"2.83,0.67"
1758472726.630472422,"2.83,0.67"
1758472726.729965210,"2.83,0.67"
1758472726.829279423,"0.67,2.83"
1758472726.930599213,"2.83,0.67"
1758472727.029785395,"2.83,0.67"
1758472727.130566120,"2.83,0.67"
1758472727.229765415,"0.67,2.83"
1758472727.329611540,"2.83,0.67"
1758472727.430819273,"2.83,0.67"
1758472727.532354832,"0.69,2.04"
1758472727.630041361,"2.83,0.67"
1758472727.731579304,"0.67,2.83"
1758472727.831479549,"2.83,0.67"
1758472727.930329561,"2.83,0.67"
1758472728.029585361,"2.83,0.67"
1758472728.132643700,"2.03,0.69"
1758472728.225124598,"2.83,0.67"
1758472728.332982779,"2.83,0.67"
1758472728.431126356,"2.83,0.67"
1758472728.530896902,"0.67,2.83"
1758472728.630573273,"2.83,0.67"
1758472728.729612112,"0.67,2.83"
1758472728.831995726,"0.67,2.83"
1758472728.930569410,"0.67,2.83"
1758472729.029768705,"0.67,2.83"
1758472729.131167173,"0.67,2.83"
1758472729.231192589,"0.67,2.83"
1758472729.331609964,"0.67,2.83"
1758472729.430786371,"0.67,2.83"
1758472729.533776045,"0.68,2.11"
1758472729.632222891,"2.83,0.67"
1758472729.731560707,"2.83,0.67"
1758472729.832854033,"0.67,2.83"
1758472729.931593180,"0.67,2.83"
1758472730.031036615,"2.00,0.00"
1758472730.131133556,"2.00,0.00"
1758472730.232396841,"2.00,0.00"
1758472730.331222773,"2.83,0.67"
1758472730.431502819,"2.83,0.67"
1758472730.539003134,"1.82,1.93"
1758472730.631643295,"2.83,0.67"
1758472730.733545065,"2.83,0.67"
1758472730.831529140,"2.83,0.67"
1758472730.930195570,"2.83,0.67"
1758472731.037896633,"1.69,1.92"
1758472731.134744406,"0.68,2.00"
1758472731.233011961,"2.83,0.67"
1758472731.330995083,"2.83,0.67"
1758472731.438279629,"1.93,1.53"
1758472731.532620192,"2.83,0.67"
1758472731.630999327,"2.83,0.67"
1758472731.732958317,"2.83,0.67"
1758472731.830798626,"2.83,0.67"
1758472731.932272673,"2.83,0.67"
1758472732.031835556,"2.83,0.67"
1758472732.131896734,"2.83,0.67"
1758472732.230735540,"2.83,0.67"
1758472732.330869198,"2.83,0.67"
1758472732.438100576,"1.93,1.54"
1758472732.531392336,"2.83,0.67"
1758472732.632154465,"2.83,0.67"
1758472732.732208490,"2.83,0.67"
1758472732.831581354,"2.83,0.67"
1758472732.931583643,"2.83,0.67"
1758472733.031322002,"2.83,0.67"
1758472733.133053541,"2.83,0.67"
1758472733.230472803,"2.83,0.67"
1758472733.331015348,"2.83,0.67"
1758472733.430995226,"2.83,0.67"
1758472733.530632496,"2.83,0.67"
1758472733.633495092,"2.83,0.67"
1758472733.730147362,"2.83,0.67"
1758472733.835728168,"2.83,0.67"
1758472733.930934668,"2.83,0.67"
1758472734.032450199,"2.83,0.67"
1758472734.132017374,"2.83,0.67"
1758472734.232253075,"2.83,0.67"
1758472734.330577850,"2.83,0.67"
1758472734.431262732,"2.83,0.67"
1758472734.532338142,"2.83,0.67"
1758472734.634111643,"2.83,0.67"
1758472734.730726480,"2.83,0.67"
1758472734.831839800,"2.83,0.67"
1758472734.933389902,"2.83,0.67"
1758472735.032970905,"2.83,0.67"
1758472735.130094767,"2.83,0.67"
1758472735.230842829,"2.83,0.67"
1758472735.332240105,"2.83,0.67"
1758472735.434135914,"2.83,0.67"
1758472735.533645630,"2.83,0.67"
1758472735.632467508,"2.83,0.67"
1758472735.731393576,"2.83,0.67"
1758472735.832046747,"2.83,0.67"
1758472735.931144714,"2.83,0.67"
1758472736.032086849,"2.83,0.67"
1758472736.131496906,"2.83,0.67"
1758472736.230459213,"2.83,0.67"
1758472736.331401825,"2.83,0.67"
1758472736.432239532,"2.83,0.67"
1758472736.532903671,"2.83,0.67"
1758472736.631925583,"2.83,0.67"
1758472736.730559826,"2.83,0.67"
1758472736.831567049,"2.83,0.67"
1758472736.930879831,"2.83,0.67"
1758472737.032546997,"2.83,0.67"
1758472737.130975485,"2.83,0.67"
1758472737.233517647,"2.83,0.67"
1758472737.331816196,"2.83,0.67"
1758472737.434108973,"2.83,0.67"
1758472737.530449629,"2.83,0.67"
1758472737.632044315,"2.83,0.67"
1758472737.732995510,"2.83,0.67"
1758472737.831570387,"2.83,0.67"
1758472737.929021835,"2.83,0.67"
1758472738.031646967,"0.67,2.83"
1758472738.131331921,"2.83,0.67"
1758472738.235098124,"2.83,0.67"
1758472738.331577778,"2.83,0.67"
1758472738.432384491,"2.83,0.67"
1758472738.531949043,"2.83,0.67"
1758472738.633250237,"2.83,0.67"
1758472738.731247663,"2.83,0.67"
1758472738.830562115,"2.83,0.67"
1758472738.932807446,"2.83,0.67"
1758472739.030512094,"2.83,0.67"
1758472739.132172108,"2.83,0.67"
1758472739.232533693,"2.83,0.67"
1758472739.332500935,"2.83,0.67"
1758472739.433548689,"2.83,0.67"
1758472739.532511234,"2.83,0.67"
1758472739.630814552,"2.83,0.67"
1758472739.732108831,"2.83,0.67"
1758472739.831088543,"2.83,0.67"
1758472740.029239178,"2.83,0.67"
1758472740.131678104,"2.83,0.67"
1758472740.530630589,"0.67,2.83"
1758472740.632325172,"0.67,2.83"
1758472740.733214140,"2.83,0.67"
1758472741.132497072,"2.83,0.67"
1758472741.232632160,"2.83,0.67"
1758472741.331966162,"2.83,0.67"
1758472741.431666374,"2.83,0.67"
1758472741.533009291,"2.83,0.67"
1758472741.732395411,"2.83,0.67"
1758472741.831143379,"2.83,0.67"
1758472742.031106234,"0.67,2.83"
1758472742.130877256,"2.83,0.67"
1758472742.433500528,"2.83,0.67"
1758472742.632148743,"0.67,2.83"
1758472742.729909182,"2.83,0.67"
1758472742.830388784,"2.83,0.67"
1758472742.934461117,"0.67,2.39"
1758472743.033725739,"2.83,0.67"
1758472743.131807089,"0.67,2.83"
1758472743.232051373,"0.67,2.83"
1758472743.331341267,"0.67,2.83"
1758472743.433429003,"2.83,0.67"
1758472743.530735254,"2.83,0.67"
1758472743.631933689,"0.67,2.83"
1758472743.731956720,"2.83,0.67"
1758472743.830637455,"2.83,0.67"
1758472743.932226896,"2.83,0.67"
1758472744.031554222,"2.83,0.67"
1758472744.131131172,"2.83,0.67"
1758472744.232133627,"2.83,0.67"
1758472744.332028151,"2.83,0.67"
1758472744.431885004,"2.83,0.67"
1758472744.530142784,"2.83,0.67"
1758472744.632001638,"2.83,0.67"
1758472744.730565310,"2.83,0.67"
1758472744.831246614,"2.83,0.67"
1758472744.934561491,"2.83,0.67"
1758472745.032005548,"2.83,0.67"
1758472745.131061792,"0.67,2.83"
1758472745.231774092,"2.83,0.67"
1758472745.332122564,"2.83,0.67"
1758472745.431768179,"2.83,0.67"
1758472745.532354355,"2.83,0.67"
1758472745.631121635,"2.83,0.67"
1758472745.731713533,"2.83,0.67"
1758472745.831897974,"2.83,0.67"
1758472745.930565119,"2.83,0.67"
1758472746.030956507,"2.83,0.67"
1758472746.130164146,"2.83,0.67"
1758472746.230612516,"2.83,0.67"
1758472746.330938101,"2.83,0.67"
1758472746.432037830,"2.83,0.67"
1758472746.528943062,"2.83,0.67"
1758472746.629670620,"2.83,0.67"
1758472746.730737686,"2.83,0.67"
1758472746.831968307,"2.83,0.67"
1758472746.929854870,"2.83,0.67"
1758472747.031346321,"2.83,0.67"
1758472747.129481792,"2.83,0.67"
1758472747.230106592,"2.83,0.67"
