ros_time_s,Error_Distancia
1758472737.526809692,-0.084101
1758472737.628372669,-0.085546
1758472737.729245663,-0.085385
1758472737.827922583,-0.093041
1758472737.925415516,-0.084370
1758472738.027952433,0.052284
1758472738.127629995,-0.055384
1758472738.231449127,-0.091051
1758472738.327980042,-0.088730
1758472738.428819656,-0.118375
1758472738.528355598,-0.111997
1758472738.629694939,-0.095321
1758472738.727607965,-0.080994
1758472738.826995850,-0.082085
1758472738.929239511,-0.134477
1758472739.026795626,-0.083296
1758472739.128474712,-0.123467
1758472739.228826523,-0.090001
1758472739.328856945,-0.048315
1758472739.429951668,-0.144510
1758472739.528811693,-0.091796
1758472739.627243280,-0.099648
1758472739.728518248,-0.095080
1758472739.827533007,-0.092925
1758472740.025676489,-0.146972
1758472740.128144741,-0.053035
1758472740.527024031,0.044469
1758472740.628761768,0.017166
1758472740.729583979,-0.056735
1758472741.128894806,-0.067818
1758472741.228970051,-0.102362
1758472741.328268051,-0.223315
1758472741.427913904,-0.116439
1758472741.529443741,-0.096129
1758472741.728752613,-0.108375
1758472741.827582121,-0.099075
1758472742.027543783,0.040166
1758472742.127328873,-0.037587
1758472742.429831743,-0.110813
1758472742.628494501,0.028309
1758472742.726259232,-0.089461
1758472742.826695204,-0.033364
1758472742.930916071,0.009472
1758472743.030012369,-0.122731
1758472743.128091335,0.018988
1758472743.228541851,0.046566
1758472743.327790022,0.034814
1758472743.429856777,-0.125996
1758472743.527175188,-0.105058
1758472743.628384113,0.044455
1758472743.728224039,-0.094334
1758472743.827048540,-0.040867
1758472743.928662062,-0.060543
1758472744.027952194,-0.092381
1758472744.127428293,-0.094472
1758472744.228541374,-0.080640
1758472744.328403473,-0.087148
1758472744.428238869,-0.110482
1758472744.526588202,-0.083217
1758472744.628411055,-0.087435
1758472744.726975441,-0.119856
1758472744.827697039,-0.055613
1758472744.930957556,-0.086310
1758472745.028353930,-0.125726
1758472745.127450705,0.041134
1758472745.228245735,-0.142538
1758472745.328104734,-0.133302
1758472745.428203821,-0.156286
1758472745.528770447,-0.096445
1758472745.627563953,-0.162173
1758472745.728132963,-0.129572
1758472745.827722788,-0.100343
1758472745.926891088,-0.071977
1758472746.027351379,-0.128981
1758472746.126554728,-0.172704
1758472746.226554632,-0.109772
1758472746.326962709,-0.084269
1758472746.428421974,-0.180577
1758472746.525304079,-0.080422
1758472746.625951052,-0.166695
1758472746.727061510,-0.102745
1758472746.828383446,-0.087235
1758472746.926125765,-0.096866
1758472747.027397871,-0.091418
1758472747.125791550,-0.117519
1758472747.226522446,-0.180971
1758472747.328201771,-0.199929
1758472747.427457094,-0.085633
1758472747.528160334,-0.192840
1758472747.626256466,-0.174781
1758472747.726187468,-0.089428
1758472747.827868700,-0.084784
1758472747.924448252,-0.184781
1758472748.026516676,-0.083952
1758472748.127326012,-0.095439
1758472748.228550196,-0.124702
1758472748.326626301,-0.187391
1758472748.426845551,-0.098710
1758472748.526398182,-0.197760
1758472748.627033949,-0.194110
1758472748.727913618,-0.160714
1758472748.827835560,-0.104940
1758472748.927003622,-0.203406
1758472749.026588440,-0.059391
1758472749.127507687,-0.209227
1758472749.228106976,-0.196285
1758472749.326431036,-0.059406
1758472749.426970720,-0.063207
1758472749.526612043,-0.202372
1758472749.626589298,-0.140060
1758472749.727224350,-0.048362
1758472749.826834917,-0.037220
1758472750.026095152,-0.198713
1758472750.127802610,-0.095425
1758472750.227025747,-0.207062
1758472750.327755690,-0.201432
1758472750.425239801,-0.158837
1758472750.525539160,-0.141760
1758472750.625548840,-0.172794
1758472750.730668306,-0.010481
1758472750.827543497,-0.207182
1758472750.926693916,-0.220439
1758472751.025167942,-0.114681
1758472751.126040459,-0.151199
1758472751.226598740,-0.133990
1758472751.326362848,-0.171403
1758472751.426157713,-0.123213
1758472751.526130438,-0.157178
1758472751.625236273,-0.214466
1758472751.727206230,-0.109939
1758472751.826356173,-0.121499
1758472751.927855968,-0.178483
1758472752.024874449,-0.123627
1758472752.124731302,-0.245261
1758472752.227053881,-0.223144
1758472752.325905561,-0.157428
1758472752.427517176,-0.233037
1758472752.527252913,-0.152871
1758472752.625474215,-0.148438
1758472752.726931572,-0.080994
1758472752.824949503,-0.069735
