ros_time_s,imu_heading
1758472677.712838411,0.000000
1758472677.745168686,0.000000
1758472677.795930862,0.000000
1758472677.846592665,0.000000
1758472677.895815849,0.000000
1758472677.946865320,0.000000
1758472677.996805668,0.000000
1758472678.046654701,0.000000
1758472678.097266436,0.000000
1758472678.146859884,0.000000
1758472678.197844028,0.000000
1758472678.247546673,0.000000
1758472678.297764540,0.000000
1758472678.346022129,0.000000
1758472678.396323919,0.000000
1758472678.446096897,0.000000
1758472678.498119831,0.000000
1758472678.546858788,0.000000
1758472678.597175360,0.000000
1758472678.647259951,0.000000
1758472678.692919493,0.000000
1758472678.742689133,0.000000
1758472678.793382406,0.000000
1758472678.843301058,0.000000
1758472678.892757177,0.000000
1758472678.942720413,0.000000
1758472678.993464470,0.000000
1758472679.044149876,0.000000
1758472679.093863487,0.000000
1758472679.143694162,0.000000
1758472679.193923950,0.000000
1758472679.243429184,0.000000
1758472679.293850422,0.000000
1758472679.343909264,0.000000
1758472679.393565178,0.000000
1758472679.443311453,0.000000
1758472679.493592262,0.000000
1758472679.543820381,0.000000
1758472679.593766451,0.000000
1758472679.644201994,0.000000
1758472679.693895817,0.000000
1758472679.743616819,0.000000
1758472679.793926001,0.000000
1758472679.846546888,0.000000
1758472679.893746138,0.000000
1758472679.943826437,0.000000
1758472679.994118690,0.000000
1758472680.043946743,0.000000
1758472680.093873501,0.000000
1758472680.143710136,0.000000
1758472680.194488764,0.000000
1758472680.244683743,0.000000
1758472680.295178413,0.000000
1758472680.345007420,0.000000
1758472680.394562721,0.000000
1758472680.444545746,0.000000
1758472680.495182276,0.000000
1758472680.545115948,0.000000
1758472680.594779730,0.000000
1758472680.644638777,0.000000
1758472680.695039511,0.000000
1758472680.744526148,0.000000
1758472680.794968843,0.000000
1758472680.845255136,0.000000
1758472680.894950390,0.000000
1758472680.946398735,0.000000
1758472680.995284081,0.000000
1758472681.045007467,0.000000
1758472681.098701715,0.000000
1758472681.148570299,0.000000
1758472681.199109316,0.000000
1758472681.248899221,0.000000
1758472681.300036907,0.000000
1758472681.349427223,0.000000
1758472681.400098085,0.000000
1758472681.450305700,0.000000
1758472681.500022888,0.000000
1758472681.550628662,0.000000
1758472681.601310730,0.000000
1758472681.649620771,0.000000
1758472681.698932171,0.000000
1758472681.748783350,0.000000
1758472681.798297644,0.000000
1758472681.849711418,0.000000
1758472681.899401903,0.000000
1758472681.949557066,0.000000
1758472681.999711752,0.000000
1758472682.049313307,0.000000
1758472682.101177931,0.000000
1758472682.149928093,0.000000
1758472682.201725483,0.000000
1758472682.250909328,0.000000
1758472682.299901009,0.000000
1758472682.351347208,0.000000
1758472682.402303219,0.000000
1758472682.450470448,0.000000
1758472682.496715546,0.000000
1758472682.546902418,0.000000
1758472682.596971035,0.000000
1758472682.646973848,0.000000
1758472682.696777582,0.000000
1758472682.746848345,0.000000
1758472682.796412706,0.000000
1758472682.850371599,0.000000
1758472682.902805090,0.000000
1758472682.951244354,0.000000
1758472683.002702236,0.000000
1758472683.052091122,0.000000
1758472683.102006197,0.000000
1758472683.150704384,0.000000
1758472683.202051640,0.000000
1758472683.250867367,0.000000
1758472683.301769972,0.000000
1758472683.353200674,0.000000
1758472683.401493549,0.000000
1758472683.449990511,0.000000
1758472683.501034975,0.000000
1758472683.549378633,0.000000
1758472683.603167295,0.000000
1758472683.650458574,0.000000
1758472683.700928450,0.000000
1758472683.751832008,0.000000
1758472683.800381184,0.000000
1758472683.853089809,0.000000
1758472683.901538372,0.000000
1758472683.952555180,0.000000
1758472684.002010584,0.000000
1758472684.051265955,0.000000
1758472684.102165461,0.000000
1758472684.152240753,0.000000
1758472684.202960491,0.000000
1758472684.253043175,0.000000
1758472684.304490328,0.000000
1758472684.352830172,0.000000
1758472684.402515411,0.000000
1758472684.453369141,0.000000
1758472684.500364065,0.000000
1758472684.550962448,0.000000
1758472684.598720789,0.000000
1758472684.648159266,0.000000
1758472684.699012041,0.000000
1758472684.748739243,0.000000
1758472684.799022436,0.000000
1758472684.848536730,0.000000
1758472684.898600340,0.000000
1758472684.948963404,0.000000
1758472684.999162912,0.000000
1758472685.048752069,0.000000
1758472685.098914623,0.000000
1758472685.148755550,0.000000
1758472685.198917627,0.000000
1758472685.248120785,0.000000
1758472685.298877239,0.000000
1758472685.347845316,0.000000
1758472685.398698092,0.000000
1758472685.448859453,0.000000
1758472685.498217821,0.000000
1758472685.553306341,0.000000
1758472685.603670597,0.000000
1758472685.653281212,0.000000
1758472685.703283787,0.000000
1758472685.753454924,0.000000
1758472685.804321766,0.000000
1758472685.850290060,0.000000
1758472685.904672146,0.000000
1758472685.955102682,0.000000
1758472686.004354000,0.000000
1758472686.054151535,0.000000
1758472686.104857445,0.000000
1758472686.155767441,0.000000
1758472686.204697609,0.000000
1758472686.254625082,0.000000
1758472686.304829121,0.000000
1758472686.356109381,0.000000
1758472686.404185534,0.000000
1758472686.455398321,0.000000
1758472686.503829718,0.000000
1758472686.554174662,0.000000
1758472686.600399256,0.000000
1758472686.650014877,0.000000
1758472686.700204372,0.000000
1758472686.750181913,0.000000
1758472686.801244020,0.000000
1758472686.851365805,0.000000
1758472686.901264906,0.000000
1758472686.951199055,0.000000
1758472687.001839399,0.000000
1758472687.051830292,0.000000
1758472687.100958109,0.000000
1758472687.151929140,0.000000
1758472687.201912403,0.000000
1758472687.251706123,0.000000
1758472687.301295757,0.000000
1758472687.351391554,0.000000
1758472687.401504517,0.000000
1758472687.451446056,0.000000
