ros_time_s,Lidar_Left
1757190478.618932724,0.497471
1757190478.717654228,0.497195
1757190478.818202257,0.497198
1757190478.918565750,0.497057
1757190479.017228603,0.497061
1757190479.118116379,0.497265
1757190479.218271017,0.497115
1757190479.317118168,0.497070
1757190479.418192625,0.497296
1757190479.518909931,0.496857
1757190479.617893934,0.497036
1757190479.717941761,0.496988
1757190479.813618422,0.497020
1757190479.913231850,0.497299
1757190480.013013363,0.496956
1757190480.113459110,0.497032
1757190480.213154793,0.497068
1757190480.312988997,0.497705
1757190480.412948370,0.497057
1757190480.512922287,0.496679
1757190480.612997055,0.497148
1757190480.712962151,0.497434
1757190480.813024759,0.496968
1757190480.913125515,0.497267
1757190481.013062716,0.497199
1757190481.112951994,0.496987
1757190481.212724447,0.496919
1757190481.313247204,0.497001
1757190481.413327456,0.496916
1757190481.513025999,0.497090
1757190481.613210440,0.497249
1757190481.713426828,0.496839
1757190481.812939405,0.496919
1757190481.913029909,0.497076
1757190482.013535023,0.496934
1757190482.113061190,0.496888
1757190482.213006020,0.497090
1757190482.312756300,0.497047
1757190482.412733078,0.496723
1757190482.512995243,0.496961
1757190482.612879753,0.497454
1757190482.714979887,0.497134
1757190482.812898159,0.497368
1757190482.912933826,0.497227
1757190483.013894558,0.497653
1757190483.113082170,0.496803
1757190483.212853432,0.496889
1757190483.312817574,0.496824
1757190483.412914038,0.496994
1757190483.513750076,0.496963
1757190483.612917662,0.497021
1757190483.712821007,0.496920
1757190483.812893391,0.497679
1757190483.912891626,0.497128
1757190484.013751745,0.496711
1757190484.113129377,0.497165
1757190484.217920065,0.497222
1757190484.318815947,0.496964
1757190484.419872284,0.497132
1757190484.518759727,0.497106
1757190484.616966486,0.497380
1757190484.719125509,0.497160
1757190484.814067364,0.496806
1757190484.912608147,0.496975
1757190485.013047695,0.497075
1757190485.113378763,0.497051
1757190485.219809771,0.496964
1757190485.318809032,0.497116
1757190485.416922569,0.497274
1757190485.518727064,0.497325
1757190485.619886398,0.497268
1757190485.720479488,0.497059
1757190485.818398476,0.498107
1757190485.913826704,0.498233
1757190486.017439127,0.498817
1757190486.118010998,0.498799
1757190486.218745232,0.499407
1757190486.318247795,0.499340
1757190486.417688847,0.499455
1757190486.520797968,0.499986
1757190486.619735241,0.499921
1757190486.713363647,0.500320
1757190486.819630384,0.500203
1757190486.918087244,0.500405
1757190487.018282890,0.500636
1757190487.118964434,0.500499
1757190487.218638897,0.500485
1757190487.317662954,0.500545
1757190487.417626143,0.500701
1757190487.518254995,0.500509
1757190487.613658905,0.500709
1757190487.718282700,0.500839
1757190487.819894791,0.500927
1757190487.919946909,0.501001
1757190488.019727468,0.500904
1757190488.115966320,0.500993
1757190488.219436407,0.500993
1757190488.319584608,0.501086
1757190488.417527914,0.501146
1757190488.518316984,0.501278
1757190488.615404367,0.501235
1757190488.718666553,0.501152
1757190488.818048477,0.501249
1757190488.918506861,0.501283
1757190489.019817114,0.501284
1757190489.119042397,0.501304
1757190489.219654560,0.501161
1757190489.317744732,0.501467
1757190489.417813778,0.501420
1757190489.518542767,0.501568
1757190489.617560625,0.501504
1757190489.718685865,0.501681
1757190489.817878246,0.501550
1757190489.917581320,0.501771
1757190490.018454790,0.501707
1757190490.118260145,0.501770
1757190490.219068527,0.501770
1757190490.318292141,0.501727
1757190490.417674541,0.501669
1757190490.517468214,0.501872
1757190490.620718479,0.501787
1757190490.719586372,0.501673
1757190490.818576813,0.501692
1757190490.918835163,0.501762
1757190491.018630981,0.501571
1757190491.118710041,0.501767
1757190491.218528986,0.501733
1757190491.318677664,0.501710
1757190491.418889284,0.501537
1757190491.518365383,0.501724
1757190491.617439985,0.501876
1757190491.718253613,0.501950
