ros_time_s,Error_Distancia
1757191724.892587185,-0.003642
1757191724.992063761,-0.004024
1757191725.086796999,-0.007394
1757191725.187368393,-0.006969
1757191725.290412903,-0.003956
1757191725.389654636,-0.007346
1757191725.569346905,-0.013394
1757191725.597923517,-0.004906
1757191725.684703350,-0.014548
1757191725.786927462,-0.010379
1757191725.883731365,-0.012253
1757191725.984848499,-0.015314
1757191726.086608887,-0.007887
1757191726.185155869,-0.011558
1757191726.286413431,-0.009389
1757191726.386393309,-0.015095
1757191726.490705729,-0.004019
1757191726.589595079,-0.005217
1757191726.681801558,-0.007876
1757191726.786913395,-0.007560
1757191726.887465239,-0.007634
1757191726.991685867,-0.003686
1757191727.091338634,-0.005181
1757191727.190823078,-0.004911
1757191727.288928032,-0.002531
1757191727.391658306,-0.003567
1757191727.490747690,-0.004439
1757191727.593012571,-0.005385
1757191727.691549301,0.001609
1757191727.791286945,0.000927
1757191727.891904831,-0.004033
1757191727.993979692,-0.000431
1757191728.092944622,-0.003221
1757191728.191859961,-0.004696
1757191728.291824341,-0.000771
1757191728.393582344,0.000499
1757191728.492112398,0.001083
1757191728.591095924,0.003108
1757191728.694498539,0.000478
1757191728.791875601,0.001615
1757191728.890136719,0.002100
1757191728.992342472,0.004062
1757191729.091236115,0.003036
1757191729.191988230,0.001997
1757191729.287433386,0.003300
1757191729.387902260,0.005223
1757191729.492607594,0.004290
1757191729.591943502,0.003307
1757191729.688822746,0.005242
1757191729.792053461,0.003846
1757191729.891303778,0.006301
1757191729.990255833,0.003986
1757191730.092268944,0.002623
1757191730.187159777,0.005922
1757191730.291916132,0.004028
1757191730.390450001,0.004386
1757191730.490460873,0.003821
1757191730.591725111,0.003833
1757191730.690723896,0.003833
1757191730.794449568,0.004026
1757191730.890880823,0.003020
1757191730.990684986,0.003889
1757191731.090198040,0.003991
1757191731.189929008,0.005991
1757191731.289342403,0.005032
1757191731.391548157,0.003729
1757191731.489497900,0.002854
1757191731.596195221,-0.000734
1757191731.693051100,0.002144
1757191731.794508457,0.000252
1757191731.893714428,-0.000347
1757191731.994041204,-0.000752
1757191732.088789225,-0.001464
1757191732.192756653,-0.001626
1757191732.291511536,-0.001913
1757191732.391720295,-0.001677
1757191732.486738443,-0.006720
1757191732.593361378,-0.003844
1757191732.693123102,-0.005016
1757191732.793939829,-0.000043
1757191732.890216589,-0.002512
1757191732.990967274,-0.003556
1757191733.093304634,-0.000132
1757191733.188569069,0.001317
1757191733.291284323,0.000779
1757191733.392517328,0.001074
1757191733.490818262,0.003452
1757191733.591920137,-0.006066
1757191733.691303253,0.003329
1757191733.793566465,0.000099
1757191733.889685869,-0.005501
1757191733.990601778,0.001576
1757191734.094845295,-0.004272
1757191734.190233946,0.001056
1757191734.291764736,-0.005418
1757191734.391885757,0.000908
1757191734.489606857,-0.005807
1757191734.593511581,-0.001215
1757191734.690542698,-0.002493
1757191734.792420864,-0.000807
1757191734.890454292,-0.004752
1757191734.990969658,-0.001901
1757191735.092820168,-0.000949
1757191735.191884518,-0.001561
1757191735.292713881,-0.000759
1757191735.388785839,-0.002986
1757191735.493877172,0.000238
1757191735.591424704,0.002133
1757191735.691569090,-0.000062
1757191735.794315577,0.000207
1757191735.891315222,0.001742
1757191735.992705584,0.002168
1757191736.091219664,0.001926
1757191736.194644690,-0.000595
1757191736.290992975,0.002285
1757191736.390800953,0.001814
1757191736.491127491,0.002519
1757191736.589945793,0.003034
1757191736.693063974,0.004135
1757191736.789329290,0.002185
1757191736.890223265,0.003486
1757191736.992858171,0.001507
1757191737.090095520,-0.002132
1757191737.190957069,0.003252
1757191737.293116331,0.001848
1757191737.393812180,0.000331
1757191737.494864464,0.000075
1757191737.592210770,0.001784
1757191737.690706015,-0.002192
1757191737.791358709,0.003455
1757191737.891829729,-0.001443
1757191737.991657257,0.003380
1757191738.090601683,0.001521
1757191738.193525314,0.001007
1757191738.292111158,-0.000866
1757191738.392401457,0.001715
1757191738.490198851,0.004050
1757191738.588796854,0.002246
1757191738.685315847,0.002017
1757191738.792550325,0.003058
1757191738.893145800,-0.000766
1757191738.992975950,0.001168
1757191739.091880560,-0.000519
1757191739.190815926,-0.001440
1757191739.294326782,-0.000129
1757191739.392664909,-0.001897
1757191739.490527153,-0.004611
1757191739.591846704,-0.001366
1757191739.692611217,-0.001075
1757191739.791064262,-0.004624
1757191739.892567396,-0.004839
1757191739.991549492,-0.004570
1757191740.091090679,-0.003955
1757191740.192768812,0.000786
1757191740.290584803,-0.004247
1757191740.392542124,-0.001409
1757191740.492773056,-0.000324
1757191740.592105627,0.001630
1757191740.688547611,0.005321
1757191740.791910648,-0.002403
1757191740.892835140,-0.000099
1757191740.990745068,0.002753
1757191741.095596552,-0.000462
1757191741.190639973,-0.003622
1757191741.293392897,-0.000537
1757191741.391340256,-0.003624
1757191741.488700867,-0.004119
1757191741.591609240,-0.001693
1757191741.692301750,-0.001012
1757191741.791750669,0.001628
1757191741.892547131,0.000226
1757191741.991223335,-0.003300
1757191742.089300632,0.002288
1757191742.189038038,-0.002187
1757191742.292381763,-0.000670
1757191742.390164375,0.001061
1757191742.490735054,0.001098
1757191742.589533329,0.002316
1757191742.691833973,0.000755
1757191742.791568041,0.001895
1757191742.890161037,0.001853
1757191742.990877390,0.000570
1757191743.087348223,0.003507
1757191743.193702698,0.000632
1757191743.289835215,0.001575
1757191743.391746283,0.000472
1757191743.489540577,-0.003106
1757191743.589248180,0.002032
1757191743.690929413,0.000720
1757191743.789797783,0.000649
1757191743.889833927,0.001579
1757191743.991823673,0.002738
1757191744.090281725,-0.000832
