ros_time_s,omega_1
1757191720.607855320,0.000000
1757191720.651321888,0.000000
1757191720.702027559,0.000000
1757191720.752033949,0.000000
1757191720.802666664,0.000000
1757191720.852620363,0.000000
1757191720.902043343,0.000000
1757191720.952089548,0.000000
1757191721.002905846,0.000000
1757191721.052583933,0.000000
1757191721.102295637,0.000000
1757191721.151954174,0.000000
1757191721.202574492,0.000000
1757191721.252634287,0.000000
1757191721.302092075,0.000000
1757191721.352797031,0.000000
1757191721.402429342,0.000000
1757191721.452296495,0.000000
1757191721.502668619,0.000000
1757191721.552441120,0.000000
1757191721.602922440,0.000000
1757191721.653043985,0.000000
1757191721.703567266,0.000000
1757191721.753678799,0.000000
1757191721.803912163,0.000000
1757191721.853984356,0.000000
1757191721.903623343,0.000000
1757191721.953507185,0.000000
1757191722.003030539,0.000000
1757191722.053225756,0.000000
1757191722.103641510,0.000000
1757191722.153089523,0.000000
1757191722.203528881,0.000000
1757191722.253420115,0.000000
1757191722.303864241,0.000000
1757191722.354002476,0.000000
1757191722.403515816,0.000000
1757191722.453484774,0.000000
1757191722.504112959,0.000000
1757191722.554801464,0.000000
1757191722.604404449,0.000000
1757191722.654765368,0.000000
1757191722.704443455,0.000000
1757191722.754357100,0.000000
1757191722.804669380,0.000000
1757191722.854519844,0.000000
1757191722.904136419,0.000000
1757191722.954100847,0.000000
1757191723.005032301,0.000000
1757191723.054592371,0.000000
1757191723.104158401,0.000000
1757191723.154636145,0.000000
1757191723.204952002,0.000000
1757191723.256929398,0.000000
1757191723.305530310,0.000000
1757191723.355501652,0.000000
1757191723.405075550,0.000000
1757191723.455078363,0.000000
1757191723.505771637,0.000000
1757191723.555488586,0.000000
1757191723.604938984,0.000000
1757191723.655484200,0.000000
1757191723.705783129,0.000000
1757191723.756018162,0.000000
1757191723.805162668,0.000000
1757191723.855303049,0.000000
1757191723.905675411,0.000000
1757191723.955743790,0.000000
1757191724.005913258,0.000000
1757191724.056569815,0.000000
1757191724.105994701,0.000000
1757191724.156616449,0.000000
1757191724.206110477,0.000000
1757191724.255995989,0.000000
1757191724.306575060,0.000000
1757191724.356405258,0.000000
1757191724.406863213,0.000000
1757191724.456049442,0.000000
1757191724.506561279,0.000000
