ros_time_s,Vel_Des
1757191740.693682194,"0.67,1.94"
1757191740.795412779,"1.92,1.69"
1757191740.896336794,"1.93,1.92"
1757191740.994360209,"1.65,1.92"
1757191741.099070549,"1.93,1.88"
1757191741.194095612,"1.93,1.51"
1757191741.296839237,"1.93,1.88"
1757191741.394964695,"1.93,1.51"
1757191741.492201567,"1.93,1.38"
1757191741.595071316,"1.93,1.76"
1757191741.695798874,"1.93,1.83"
1757191741.795392513,"1.77,1.93"
1757191741.896064043,"1.91,1.93"
1757191741.994772196,"1.93,1.57"
1757191742.092858553,"1.70,1.92"
1757191742.192533731,"1.92,1.71"
1757191742.295863152,"1.93,1.86"
1757191742.393709898,"1.82,1.93"
1757191742.494290113,"1.82,1.93"
1757191742.592998981,"1.70,1.92"
1757191742.695332766,"1.85,1.93"
1757191742.795073032,"1.74,1.93"
1757191742.893697500,"1.75,1.93"
1757191742.994320393,"1.87,1.93"
1757191743.090934515,"1.53,1.93"
1757191743.197269201,"1.87,1.93"
1757191743.293433189,"1.77,1.93"
1757191743.395327568,"1.88,1.93"
1757191743.493053913,"1.93,1.60"
1757191743.592842579,"1.73,1.93"
1757191743.694565296,"1.86,1.93"
1757191743.793399572,"1.87,1.93"
1757191743.893558502,"1.77,1.93"
1757191743.995323658,"1.65,1.92"
1757191744.093760729,"1.93,1.85"
1757191744.192937613,"1.69,1.92"
1757191744.290974617,"1.90,1.93"
1757191744.394486427,"1.90,1.93"
1757191744.493447542,"1.76,1.93"
1757191744.594616413,"1.93,1.92"
1757191744.693356752,"1.74,1.93"
1757191744.793794870,"1.89,1.93"
1757191744.893649101,"1.90,1.93"
1757191744.995263338,"1.67,1.92"
1757191745.093050718,"1.85,1.93"
1757191745.194695234,"1.75,1.93"
1757191745.293069124,"1.79,1.93"
1757191745.394963026,"1.89,1.93"
1757191745.494450569,"1.90,1.93"
1757191745.594556332,"1.86,1.93"
1757191745.694946527,"1.91,1.93"
1757191745.796153545,"1.90,1.93"
1757191745.893114090,"1.82,1.93"
1757191745.994711876,"1.85,1.93"
1757191746.094407082,"1.86,1.93"
1757191746.191592455,"1.92,1.63"
1757191746.295433283,"1.93,1.89"
1757191746.396014929,"1.93,1.89"
1757191746.491389275,"1.93,1.50"
1757191746.591476440,"1.93,1.42"
1757191746.692832708,"1.93,1.58"
1757191746.793611526,"1.93,1.86"
1757191746.891780615,"1.93,1.52"
1757191746.991265297,"1.93,1.37"
1757191747.090764284,"1.98,0.67"
1757191747.191396952,"1.92,1.71"
1757191747.293250561,"1.93,1.79"
1757191747.394206285,"1.93,1.54"
1757191747.491633892,"1.95,0.67"
1757191747.592607975,"1.93,1.47"
1757191747.690985918,"1.93,1.44"
1757191747.792077541,"1.93,1.77"
1757191747.890637159,"1.60,1.93"
1757191747.997058630,"1.84,1.93"
1757191748.091511488,"1.76,1.93"
1757191748.191867352,"1.93,1.74"
1757191748.291893005,"1.93,1.76"
1757191748.392208576,"1.95,0.67"
1757191748.492314100,"1.92,1.70"
1757191748.586802244,"2.03,0.69"
1757191748.691040516,"1.92,1.71"
1757191748.789123774,"2.04,0.69"
1757191748.891520262,"1.93,1.49"
1757191748.991160631,"1.94,0.67"
1757191749.092729807,"1.93,1.79"
1757191749.184522390,"2.00,0.68"
1757191749.289465904,"1.99,0.68"
1757191749.391974926,"1.97,0.67"
1757191749.492204189,"1.78,1.93"
1757191749.590969801,"1.93,0.67"
1757191749.691599846,"1.93,1.52"
1757191749.792821407,"0.00,2.00"
1757191749.795494080,"1.91,1.93"
1757191749.889564991,"0.00,2.00"
1757191749.894481182,"1.97,0.67"
1757191749.992349148,"0.00,2.00"
1757191749.995061874,"1.73,1.93"
1757191750.093320847,"1.85,1.93"
1757191750.192616224,"1.84,1.93"
1757191750.293951273,"1.86,1.93"
1757191750.392575741,"1.62,1.93"
