ros_time_s,imu_heading
1757191720.614759445,0.000000
1757191720.654624701,0.000000
1757191720.705307245,0.000000
1757191720.755461454,0.000000
1757191720.805739880,0.000000
1757191720.855844498,0.000000
1757191720.905443430,0.000000
1757191720.955352783,0.000000
1757191721.006360054,0.000000
1757191721.055821657,0.000000
1757191721.105406761,0.000000
1757191721.155348301,0.000000
1757191721.205913544,0.000000
1757191721.255831480,0.000000
1757191721.305213451,0.000000
1757191721.356138706,0.000000
1757191721.405079126,359.940000
1757191721.454820633,359.940000
1757191721.505682707,359.940000
1757191721.555308342,359.940000
1757191721.606019735,359.940000
1757191721.656293392,359.940000
1757191721.706997871,359.940000
1757191721.757305861,359.940000
1757191721.807271481,359.940000
1757191721.858794212,359.940000
1757191721.910693884,359.940000
1757191721.956628323,359.940000
1757191722.006084442,359.940000
1757191722.056462288,359.940000
1757191722.106476068,359.940000
1757191722.156223536,359.940000
1757191722.206479073,359.940000
1757191722.257229805,359.940000
1757191722.306761980,359.940000
1757191722.357072830,359.940000
1757191722.406409502,359.940000
1757191722.456485271,359.940000
1757191722.506951094,359.940000
1757191722.557760477,359.940000
1757191722.607109308,359.940000
1757191722.657665730,359.940000
1757191722.707208633,359.940000
1757191722.757680893,359.940000
1757191722.807630539,359.940000
1757191722.857452869,359.940000
1757191722.907086372,359.940000
1757191722.957056761,359.940000
1757191723.008946896,359.940000
1757191723.057654619,359.940000
1757191723.106980085,359.940000
1757191723.158830404,359.940000
1757191723.207847595,359.940000
1757191723.262988329,359.940000
1757191723.308507681,359.940000
1757191723.358992338,359.940000
1757191723.407886028,359.940000
1757191723.458039284,359.940000
1757191723.509379625,359.940000
1757191723.558691502,359.940000
1757191723.608049393,359.940000
1757191723.658493757,359.940000
1757191723.708509684,359.940000
1757191723.759995222,359.940000
1757191723.808017731,359.940000
1757191723.858330011,359.940000
1757191723.909163713,359.940000
1757191723.959555149,359.940000
1757191724.009243250,359.940000
1757191724.059710979,359.940000
1757191724.108838797,359.940000
1757191724.159994125,359.940000
1757191724.208832979,359.940000
1757191724.258969545,359.940000
1757191724.309472561,359.940000
1757191724.360897541,359.940000
1757191724.410062313,359.940000
1757191724.459447622,359.940000
1757191724.509415865,359.940000
1757191724.559595585,359.940000
1757191724.608763695,359.940000
1757191724.659760952,359.940000
1757191724.709088802,359.940000
1757191724.759097099,359.940000
1757191724.809602737,359.940000
1757191724.866433382,359.940000
1757191724.912376165,359.940000
1757191724.965588570,359.940000
1757191725.011255264,359.810000
1757191725.064647198,359.690000
1757191725.113391638,359.940000
1757191725.163945436,0.000000
1757191725.212110519,0.440000
