ros_time_s,Vel_Des
1757275162.451564312,"2.83,0.67"
1757275162.555272102,"1.96,0.67"
1757275162.654719591,"2.01,0.68"
1757275162.753330708,"2.03,0.69"
1757275162.852245808,"2.83,0.67"
1757275162.950536013,"2.83,0.67"
1757275163.058852434,"2.26,0.67"
1757275163.151817799,"2.29,0.67"
1757275163.250334263,"2.83,0.67"
1757275163.350455999,"2.83,0.67"
1757275163.445297956,"0.67,2.83"
1757275163.550364494,"0.67,2.83"
1757275163.652428627,"2.70,0.67"
1757275163.749279499,"2.83,0.67"
1757275163.852233887,"2.83,0.67"
1757275163.949958563,"2.83,0.67"
1757275164.050432682,"2.83,0.67"
1757275164.150462389,"2.83,0.67"
1757275164.255140543,"0.00,2.00"
1757275164.257713079,"1.98,0.68"
1757275164.352843761,"0.00,2.00"
1757275164.355539560,"2.09,0.69"
1757275164.458849192,"0.00,2.00"
1757275164.461467981,"1.93,1.72"
1757275164.556257725,"0.00,2.00"
1757275164.559402227,"1.93,1.81"
1757275164.657276869,"1.93,1.80"
1757275164.759750843,"1.93,1.77"
1757275164.853915930,"1.94,0.67"
1757275164.956628084,"1.93,0.67"
1757275165.052410126,"2.32,0.67"
1757275165.156973124,"0.00,2.00"
1757275165.159624100,"1.93,0.71"
1757275165.258690596,"0.00,2.00"
1757275165.261163473,"1.93,1.54"
1757275165.357292891,"0.00,2.00"
1757275165.359848976,"1.96,0.67"
1757275165.452958107,"2.11,0.68"
1757275165.553750277,"1.99,0.68"
1757275165.657047033,"1.93,1.48"
1757275165.757405519,"1.94,0.67"
1757275165.856473684,"0.00,2.00"
1757275165.858996630,"1.93,1.34"
1757275165.956183434,"0.00,2.00"
1757275165.958706617,"1.92,1.63"
1757275166.054108858,"1.99,0.68"
1757275166.156743765,"1.94,0.67"
1757275166.256829023,"1.93,1.63"
1757275166.357582569,"0.00,2.00"
1757275166.360102892,"1.93,1.76"
1757275166.457833767,"0.00,2.00"
1757275166.460314989,"1.93,1.62"
1757275166.555875778,"1.58,1.93"
1757275166.660168171,"1.93,1.86"
1757275166.756206512,"1.54,1.93"
1757275166.857343197,"1.47,1.93"
1757275166.958031178,"1.77,1.93"
1757275167.054752827,"1.66,1.92"
1757275167.158249140,"1.52,1.93"
1757275167.255855799,"1.65,1.92"
1757275167.356086016,"1.65,1.92"
1757275167.450490952,"0.67,2.83"
1757275167.558894396,"1.88,1.93"
1757275167.651493788,"0.67,2.83"
1757275167.758291245,"1.93,1.84"
1757275167.856271982,"1.93,1.85"
1757275167.955668449,"1.93,1.83"
1757275168.060179949,"1.93,1.75"
1757275168.157108545,"1.92,1.67"
1757275168.256771326,"1.93,1.01"
1757275168.352428436,"1.65,1.92"
1757275168.454525948,"0.67,1.94"
1757275168.550990105,"1.49,1.93"
1757275168.654395342,"0.67,1.95"
1757275168.757877588,"1.93,1.84"
1757275168.860369205,"1.93,1.73"
1757275168.958631277,"1.93,1.78"
1757275169.059375763,"1.93,1.42"
1757275169.157991171,"1.93,1.82"
1757275169.259853363,"1.93,1.77"
1757275169.358584642,"1.93,1.75"
1757275169.459380150,"1.93,1.76"
1757275169.561351538,"1.93,1.44"
1757275169.658093214,"1.93,1.81"
1757275169.750583649,"0.67,2.83"
1757275169.859202862,"1.74,1.93"
1757275169.958949327,"1.76,1.93"
1757275170.058043957,"1.61,1.93"
1757275170.158847332,"1.91,1.93"
1757275170.257816076,"1.51,1.93"
1757275170.358426094,"1.93,1.84"
1757275170.458297014,"1.92,1.68"
1757275170.560495615,"1.91,1.93"
1757275170.658380508,"1.87,1.93"
1757275170.751386881,"2.83,0.67"
1757275170.851486444,"2.83,0.67"
1757275170.957978725,"1.93,1.07"
1757275171.058504343,"1.93,1.43"
1757275171.154850006,"1.93,1.19"
1757275171.255219460,"1.92,1.67"
1757275171.358342648,"1.93,1.79"
1757275171.451138735,"0.67,2.83"
1757275171.549546719,"0.67,2.83"
1757275171.657516479,"1.93,1.60"
1757275171.749856949,"0.67,2.83"
1757275171.851990700,"0.67,2.83"
1757275171.955718994,"1.68,1.92"
1757275172.051182747,"0.67,2.83"
1757275172.160361767,"1.78,1.93"
1757275172.258767605,"1.90,1.93"
1757275172.358949661,"1.63,1.92"
1757275172.458875656,"1.72,1.92"
1757275172.554779530,"1.68,1.92"
1757275172.656847477,"1.68,1.92"
1757275172.757720470,"0.89,1.93"
1757275172.852410793,"0.67,2.83"
1757275172.958479881,"1.96,0.67"
1757275173.059437752,"1.93,1.90"
1757275173.155137539,"0.67,1.94"
1757275173.257285357,"1.72,1.92"
1757275173.358377457,"1.71,1.92"
1757275173.458091259,"1.70,1.92"
1757275173.560010433,"1.93,1.90"
1757275173.659510851,"1.93,1.85"
1757275173.757774830,"1.92,1.93"
1757275173.859036446,"1.85,1.93"
1757275173.958102942,"1.93,1.88"
1757275174.060506105,"1.93,1.92"
1757275174.157244682,"1.78,1.93"
1757275174.259260654,"1.89,1.93"
1757275174.359096527,"1.76,1.93"
1757275174.449866295,"0.67,2.83"
1757275174.555520296,"1.59,1.93"
1757275174.658843994,"1.81,1.93"
1757275174.759549856,"1.92,1.93"
1757275174.858131647,"1.93,1.85"
1757275174.950587511,"0.67,2.83"
1757275175.058375359,"1.77,1.93"
1757275175.158662081,"2.00,0.00"
1757275175.258644581,"2.00,0.00"
1757275175.360523939,"1.93,1.93"
1757275175.458194017,"1.86,1.93"
1757275175.552590132,"1.76,1.93"
1757275175.657460451,"1.73,1.93"
1757275175.758126020,"1.93,1.82"
1757275175.860184908,"1.93,1.80"
1757275175.956439495,"1.86,1.93"
1757275176.057420731,"1.93,1.52"
