ros_time_s,Vel_Des
1757276421.058274746,"0.67,2.83"
1757276421.165431499,"1.93,1.09"
1757276421.263052940,"0.69,2.08"
1757276421.358793259,"0.67,2.83"
1757276421.467687368,"1.61,1.93"
1757276421.558745623,"0.67,2.83"
1757276421.666228771,"1.94,0.67"
1757276421.761384010,"0.67,2.83"
1757276421.860134363,"0.67,2.83"
1757276421.961805105,"0.67,1.95"
1757276422.062016487,"0.69,2.05"
1757276422.159816742,"0.67,2.83"
1757276422.261090755,"0.67,2.83"
1757276422.358824968,"0.67,2.83"
1757276422.458538055,"0.67,2.83"
1757276422.558232784,"0.68,1.99"
1757276422.663191557,"0.68,2.15"
1757276422.760748148,"0.67,2.83"
1757276422.862200260,"0.67,2.83"
1757276422.958478928,"0.67,2.83"
1757276423.060235500,"0.67,2.83"
1757276423.159029245,"0.67,2.83"
1757276423.260339975,"0.67,2.83"
1757276423.361851215,"0.67,1.97"
1757276423.458578587,"0.67,2.83"
1757276423.559557915,"0.67,2.83"
1757276423.666959286,"1.93,1.80"
1757276423.758392572,"0.67,2.83"
1757276423.860530853,"2.00,0.00"
1757276423.961024761,"2.00,0.00"
1757276424.058192968,"2.00,0.00"
1757276424.166446924,"2.00,0.00"
1757276424.262246847,"0.69,2.06"
1757276424.357838631,"0.67,2.83"
1757276424.458178282,"0.67,2.83"
1757276424.557965994,"0.67,2.83"
1757276424.667339325,"1.85,1.93"
1757276424.756778240,"2.00,0.00"
1757276424.863975763,"2.00,0.00"
1757276424.968428612,"1.93,1.92"
1757276425.064229727,"1.92,1.71"
1757276425.157927990,"0.67,2.83"
1757276425.257654667,"0.67,2.83"
1757276425.357686996,"2.83,0.67"
1757276425.460846186,"2.01,0.68"
1757276425.564894199,"1.44,1.93"
1757276425.661804199,"0.67,1.98"
1757276425.758663654,"0.67,2.83"
1757276425.859221220,"0.67,2.83"
1757276425.960284472,"2.01,0.68"
1757276426.060003042,"0.67,2.83"
1757276426.158037663,"0.67,2.83"
1757276426.261839628,"0.69,2.08"
