ros_time_s,omega_1
1757276402.366543770,0.000000
1757276402.416509867,0.000000
1757276402.467444181,0.000000
1757276402.517167091,0.000000
1757276402.566992998,0.000000
1757276402.616956949,0.000000
1757276402.667560816,0.000000
1757276402.718151331,0.000000
1757276402.767724276,0.000000
1757276402.817783833,0.000000
1757276402.867299080,0.000000
1757276402.917499065,0.000000
1757276402.968103886,0.000000
1757276403.017976046,0.000000
1757276403.067680359,0.000000
1757276403.117774248,0.000000
1757276403.168405771,0.000000
1757276403.218105793,0.000000
1757276403.267479181,0.000000
1757276403.318770647,0.000000
1757276403.369214296,0.000000
1757276403.418448687,0.000000
1757276403.468926668,0.000000
1757276403.519061327,0.000000
1757276403.568580151,0.000000
1757276403.620033503,0.000000
1757276403.669584274,0.000000
1757276403.720236540,0.000000
1757276403.769006491,0.000000
1757276403.819273233,0.000000
1757276403.868479729,0.000000
1757276403.919750929,0.000000
1757276403.969545364,0.000000
1757276404.020049334,0.000000
1757276404.069590330,0.000000
1757276404.119649887,0.000000
1757276404.169289827,0.000000
1757276404.219987154,0.000000
1757276404.269315004,0.000000
1757276404.321417570,0.000000
1757276404.370388746,0.000000
1757276404.422086477,2.108000
1757276404.470558643,1.777000
1757276404.521338940,2.078000
1757276404.571179867,2.026000
1757276404.622034550,1.929000
1757276404.670608997,1.918000
1757276404.722282410,2.008000
1757276404.770406723,2.108000
1757276404.821227551,1.978000
1757276404.871474028,1.830000
1757276404.921579123,2.073000
1757276404.971225739,2.115000
1757276405.021328449,2.121000
1757276405.070665359,1.940000
1757276405.122552156,1.836000
1757276405.170222759,1.210000
1757276405.221520662,0.470000
1757276405.271128178,0.630000
1757276405.321520090,0.873000
1757276405.370227814,0.356000
1757276405.421541214,2.148000
1757276405.470544577,2.228000
1757276405.521717310,1.967000
1757276405.571067333,1.880000
1757276405.622129440,1.789000
1757276405.671173334,1.952000
1757276405.722092867,2.056000
1757276405.770998478,1.509000
1757276405.822731018,0.390000
1757276405.871871710,0.861000
1757276405.921930075,0.517000
1757276405.973476648,0.473000
1757276406.023723364,0.911000
1757276406.072335720,0.513000
1757276406.124588013,1.350000
1757276406.173718452,1.809000
1757276406.224566936,2.031000
1757276406.273786306,2.030000
1757276406.324554443,0.693000
1757276406.374071836,0.804000
1757276406.424371958,0.409000
1757276406.473516226,0.995000
1757276406.525081396,0.236000
1757276406.574431419,0.946000
1757276406.624325514,0.312000
1757276406.674883127,0.995000
1757276406.726096153,0.358000
1757276406.775122404,1.446000
1757276406.825376272,2.444000
1757276406.875452518,1.607000
1757276406.925802469,0.346000
1757276406.974861622,0.753000
1757276407.026411772,1.863000
1757276407.075295687,2.025000
1757276407.126443624,2.006000
1757276407.175727606,1.487000
1757276407.227126360,0.282000
1757276407.275264502,1.066000
1757276407.327032328,1.501000
1757276407.376071930,0.391000
1757276407.426714659,0.759000
1757276407.476212978,0.821000
1757276407.526846647,2.067000
1757276407.576028585,1.992000
1757276407.626702070,1.980000
1757276407.675858259,1.955000
1757276407.727250576,2.024000
1757276407.776243687,1.984000
1757276407.827167988,2.151000
1757276407.876424789,1.535000
1757276407.926248550,0.390000
1757276407.976067781,0.720000
1757276408.026171446,0.880000
1757276408.076140881,0.399000
1757276408.126722097,0.811000
1757276408.175478935,0.517000
1757276408.226376534,1.115000
1757276408.275265694,1.229000
1757276408.326977968,2.012000
1757276408.376959324,2.029000
1757276408.428217649,1.911000
1757276408.477440357,2.023000
1757276408.528420687,1.790000
1757276408.578245640,2.026000
1757276408.628871679,2.012000
1757276408.677658796,1.481000
1757276408.727744579,1.429000
1757276408.778631926,2.209000
1757276408.828682423,2.365000
1757276408.877718925,2.389000
1757276408.928695202,2.083000
1757276408.979173422,2.188000
1757276409.028741121,2.393000
1757276409.078345537,1.381000
1757276409.128546476,0.350000
1757276409.177538872,0.993000
1757276409.228193283,2.148000
1757276409.278251171,1.964000
1757276409.329490185,1.619000
1757276409.379260778,1.865000
1757276409.430252075,1.937000
1757276409.478197813,2.021000
1757276409.530040503,2.005000
1757276409.579373360,1.889000
1757276409.629284382,1.592000
1757276409.679872751,0.775000
1757276409.730422020,0.432000
1757276409.779398918,1.459000
1757276409.829725504,2.442000
1757276409.879146576,2.056000
1757276409.929751873,2.103000
1757276409.979091167,1.926000
1757276410.030355453,1.045000
1757276410.079763651,1.300000
1757276410.129666090,2.169000
1757276410.178520918,1.556000
1757276410.229450703,0.404000
1757276410.278436184,1.049000
1757276410.329315424,2.245000
1757276410.378931761,2.152000
1757276410.429804325,0.950000
1757276410.479545593,0.296000
1757276410.528835297,0.991000
1757276410.578978300,1.065000
1757276410.630021811,2.481000
1757276410.678975821,1.853000
1757276410.729819059,2.117000
1757276410.779640436,1.031000
1757276410.829908848,0.230000
1757276410.878735304,0.875000
1757276410.929270029,0.513000
1757276410.978761673,0.951000
1757276411.030122757,1.730000
1757276411.079291105,1.800000
1757276411.129177094,1.997000
1757276411.179085016,0.459000
1757276411.229963303,0.823000
1757276411.279351473,0.814000
1757276411.330368996,1.455000
1757276411.378354549,1.720000
1757276411.429751396,2.060000
1757276411.479451895,1.658000
1757276411.529241562,0.430000
1757276411.579518795,1.203000
1757276411.630274773,2.000000
1757276411.678698301,1.880000
1757276411.730249166,0.314000
1757276411.779213905,0.989000
1757276411.829670191,1.598000
1757276411.879417181,1.817000
1757276411.930057764,2.324000
1757276411.979637623,1.748000
1757276412.029457569,2.058000
1757276412.078349829,2.011000
1757276412.130089045,1.973000
1757276412.179490805,0.944000
1757276412.230344534,0.362000
1757276412.278663397,1.146000
1757276412.329804659,1.837000
1757276412.379992247,2.107000
1757276412.430978775,2.515000
1757276412.480381966,2.586000
1757276412.530184031,2.543000
1757276412.580552101,1.646000
1757276412.630572081,2.129000
1757276412.679360867,1.943000
1757276412.730804682,2.029000
1757276412.779983044,2.100000
1757276412.830435753,2.465000
1757276412.880536318,1.971000
1757276412.930562019,1.981000
1757276412.980522394,1.984000
1757276413.031049013,2.065000
1757276413.079961300,2.124000
1757276413.130828381,2.389000
1757276413.180301666,2.588000
1757276413.230315447,2.480000
1757276413.280252695,1.957000
1757276413.331678867,1.879000
1757276413.380826950,1.335000
1757276413.431715488,0.632000
1757276413.481226206,0.993000
1757276413.531549931,0.360000
1757276413.581713200,1.007000
1757276413.631134033,0.397000
1757276413.681389093,1.008000
1757276413.731763363,0.552000
1757276413.781236172,0.444000
1757276413.831785917,1.003000
1757276413.882206202,0.343000
1757276413.930979252,0.966000
1757276413.981720924,0.363000
1757276414.031109571,0.958000
1757276414.080398560,0.517000
1757276414.132086515,0.639000
1757276414.181363106,0.806000
1757276414.230916023,0.451000
1757276414.280784845,1.246000
1757276414.331789494,1.782000
1757276414.381298780,1.751000
1757276414.431582212,2.141000
1757276414.480329037,2.098000
1757276414.531057835,1.918000
1757276414.581694603,0.914000
1757276414.632257462,0.375000
1757276414.681921721,1.386000
1757276414.732339144,2.410000
1757276414.781503201,1.866000
1757276414.831473827,0.464000
1757276414.881741285,0.702000
1757276414.931499004,0.452000
1757276414.981490135,0.894000
1757276415.032307148,0.391000
1757276415.080340385,0.828000
1757276415.131331921,2.086000
1757276415.180303574,1.973000
1757276415.231876612,1.959000
1757276415.281209707,1.941000
1757276415.331569195,1.643000
1757276415.382181406,1.950000
1757276415.431877851,2.133000
1757276415.481477022,1.090000
1757276415.532372475,0.277000
1757276415.581871033,0.998000
1757276415.632078171,0.387000
1757276415.680861473,0.722000
1757276415.731915712,0.805000
1757276415.781031370,0.945000
1757276415.832347393,1.985000
1757276415.880159140,1.856000
1757276415.930939674,2.010000
1757276415.980913639,1.973000
1757276416.031574011,1.993000
1757276416.080041409,1.988000
1757276416.131905079,1.910000
1757276416.181078672,1.692000
1757276416.231822491,1.677000
1757276416.280792713,1.775000
1757276416.331984758,1.935000
1757276416.380761147,1.710000
1757276416.431271791,1.891000
1757276416.480854988,2.063000
1757276416.531502008,2.619000
1757276416.580658197,2.644000
1757276416.630662918,2.630000
1757276416.681372881,2.012000
1757276416.732265472,1.720000
1757276416.782433510,1.291000
1757276416.833253384,1.420000
1757276416.882014751,1.702000
1757276416.932544231,2.013000
1757276416.981953382,1.917000
1757276417.031783819,1.836000
1757276417.082348824,0.846000
1757276417.133136988,0.527000
1757276417.183205843,1.338000
1757276417.234406710,1.961000
1757276417.283541441,1.986000
1757276417.333721161,1.957000
1757276417.383913040,0.469000
1757276417.433269501,0.762000
1757276417.483445406,1.471000
1757276417.533101082,1.935000
1757276417.583183289,2.073000
1757276417.633994102,2.053000
1757276417.683375359,0.627000
1757276417.733895063,0.527000
1757276417.783051968,1.120000
1757276417.834131956,1.952000
1757276417.882862329,2.043000
1757276417.933864117,2.202000
1757276417.984496355,2.253000
1757276418.034632206,2.424000
1757276418.084018946,2.441000
1757276418.135321140,2.549000
1757276418.183881044,2.511000
1757276418.233863115,2.390000
1757276418.283461571,1.527000
1757276418.334014893,1.998000
1757276418.383283615,2.189000
1757276418.433655262,2.302000
1757276418.484852552,2.091000
1757276418.534964800,2.138000
1757276418.585291862,2.353000
1757276418.634580374,2.271000
1757276418.685456038,2.298000
1757276418.734783649,2.421000
1757276418.785391331,2.503000
1757276418.835875273,2.527000
1757276418.885293245,1.546000
1757276418.934880257,2.043000
1757276418.984714031,1.720000
1757276419.036041737,1.911000
1757276419.085180044,1.510000
1757276419.136174917,1.703000
1757276419.185930014,1.918000
1757276419.235241890,2.051000
1757276419.286066294,2.062000
1757276419.337417126,1.929000
1757276419.386840343,2.053000
1757276419.437118769,2.167000
1757276419.487135887,2.085000
1757276419.536584616,2.153000
1757276419.587721586,0.205000
1757276419.636530161,0.453000
1757276419.687708378,1.426000
1757276419.738315582,2.200000
1757276419.786968470,1.844000
1757276419.836467981,2.033000
1757276419.886417389,0.929000
1757276419.937512159,0.625000
1757276419.987816095,0.352000
1757276420.038127422,0.834000
1757276420.087864876,0.552000
1757276420.138862848,0.744000
1757276420.188897610,1.049000
1757276420.238760233,2.238000
1757276420.288133860,1.848000
1757276420.337990046,1.976000
1757276420.388233900,0.237000
1757276420.439193249,0.996000
1757276420.488716602,1.866000
1757276420.538350821,2.546000
1757276420.588305473,1.025000
1757276420.638519287,1.352000
1757276420.688797474,0.142000
1757276420.737698793,0.828000
1757276420.788678646,1.786000
1757276420.838432550,2.640000
1757276420.889523029,1.598000
1757276420.938333988,2.325000
1757276420.989673615,0.304000
1757276421.038880825,0.760000
1757276421.089590073,0.389000
1757276421.138688803,0.891000
1757276421.189219236,1.269000
1757276421.238788843,1.781000
1757276421.290326595,0.596000
1757276421.339483500,0.889000
1757276421.389874458,0.451000
1757276421.440161228,0.753000
1757276421.489793539,0.818000
1757276421.539098024,1.435000
1757276421.589534044,0.319000
1757276421.640118837,0.781000
1757276421.690160990,0.849000
1757276421.739990950,1.861000
1757276421.790780783,0.651000
1757276421.840589762,0.485000
1757276421.891382694,0.667000
1757276421.939979315,0.702000
1757276421.991442680,0.560000
1757276422.039973974,0.727000
1757276422.091242790,0.582000
1757276422.140262127,0.848000
1757276422.191475391,0.330000
1757276422.240097761,0.903000
1757276422.291162729,0.415000
1757276422.340667486,0.829000
1757276422.391484261,0.423000
1757276422.440849304,0.911000
1757276422.492504358,0.518000
1757276422.541807413,0.860000
1757276422.592481136,0.550000
1757276422.641551256,0.634000
1757276422.692480087,0.461000
1757276422.740835667,0.920000
1757276422.792048216,0.366000
1757276422.841224909,0.857000
1757276422.892131805,0.411000
1757276422.941088676,0.657000
1757276422.992643118,0.977000
1757276423.041039944,0.595000
1757276423.092736006,0.492000
1757276423.140898466,0.501000
1757276423.192687511,0.422000
1757276423.241561174,0.704000
1757276423.291918278,0.525000
1757276423.341343164,0.869000
1757276423.392079830,0.500000
1757276423.440934896,0.662000
1757276423.492380619,0.715000
1757276423.540977955,0.710000
1757276423.592065096,0.884000
1757276423.641920090,0.230000
1757276423.691988945,1.055000
1757276423.741209507,1.773000
1757276423.791919947,0.176000
1757276423.841436863,0.923000
1757276423.892014265,1.862000
1757276423.941056967,2.012000
1757276423.991992235,2.065000
1757276424.041375160,2.029000
1757276424.092742443,1.998000
1757276424.140913725,2.069000
1757276424.191814184,2.042000
1757276424.241662741,1.989000
1757276424.292363167,0.293000
1757276424.342061043,0.791000
1757276424.393326044,0.596000
1757276424.442464828,0.643000
1757276424.492949724,0.849000
1757276424.541904211,0.461000
1757276424.593168974,0.685000
1757276424.642243624,0.691000
1757276424.692955017,1.365000
1757276424.742333889,1.866000
1757276424.793968916,2.156000
1757276424.842200518,2.064000
1757276424.893669844,2.019000
1757276424.942303658,2.059000
1757276424.993442297,1.880000
1757276425.042141676,1.939000
1757276425.093139887,2.057000
1757276425.142538071,1.953000
1757276425.193450928,0.368000
1757276425.242460251,0.825000
1757276425.293405533,0.557000
1757276425.342454672,0.516000
1757276425.392759562,1.821000
1757276425.442111731,2.519000
1757276425.493392229,1.524000
1757276425.541887283,2.008000
1757276425.592548847,1.037000
1757276425.642408609,1.500000
1757276425.693761587,0.426000
1757276425.742146969,0.599000
1757276425.791889429,0.855000
1757276425.842392683,0.416000
1757276425.892858028,0.898000
1757276425.942013741,0.624000
1757276425.993047476,1.614000
1757276426.042504549,1.957000
1757276426.093252659,0.191000
1757276426.141952515,0.992000
1757276426.193392992,0.495000
1757276426.242099762,0.707000
1757276426.293385983,0.580000
1757276426.341889620,0.800000
1757276426.393282652,1.689000
1757276426.442326069,2.077000
1757276426.493333817,1.831000
1757276426.542039156,1.937000
1757276426.593456984,2.076000
1757276426.641771317,2.103000
1757276426.692517281,0.253000
1757276426.742121220,0.989000
1757276426.793407440,1.701000
1757276426.841892958,1.914000
1757276426.893269539,1.966000
1757276426.942349911,1.958000
1757276426.993251324,2.237000
1757276427.041786194,2.488000
1757276427.093539953,1.342000
1757276427.142330408,1.869000
1757276427.193870068,0.250000
1757276427.241816759,0.767000
1757276427.292619228,1.777000
1757276427.341822863,2.168000
1757276427.393048763,2.168000
1757276427.442219734,2.232000
1757276427.493587017,0.227000
1757276427.542392731,0.692000
1757276427.592953920,1.457000
1757276427.642267942,1.934000
1757276427.693345547,2.256000
1757276427.742141247,2.492000
1757276427.793517590,0.059000
1757276427.842285156,0.928000
1757276427.893682957,1.613000
1757276427.942517996,2.321000
1757276427.993106604,0.320000
1757276428.041939020,0.714000
1757276428.092457294,1.481000
1757276428.142228365,2.378000
1757276428.193592072,0.132000
1757276428.241936445,0.832000
1757276428.293408394,1.692000
1757276428.341870546,1.903000
1757276428.393149853,2.364000
1757276428.441778898,2.541000
1757276428.493341446,2.412000
1757276428.542131424,2.617000
1757276428.593315363,1.366000
1757276428.641659498,1.915000
1757276428.693459034,2.242000
1757276428.742283821,2.491000
1757276428.792447805,0.977000
1757276428.842182636,1.028000
1757276428.893242121,1.551000
1757276428.941965342,1.832000
1757276428.992717266,2.111000
1757276429.042546272,2.470000
1757276429.092959642,1.487000
1757276429.141729832,2.033000
1757276429.192908525,2.221000
1757276429.242652655,2.455000
1757276429.293203354,2.578000
1757276429.342399836,2.615000
1757276429.392988205,2.572000
1757276429.442366838,2.622000
1757276429.493040085,2.539000
1757276429.542679548,2.577000
1757276429.593788862,1.539000
1757276429.643118620,1.948000
1757276429.694307566,2.234000
1757276429.742483377,2.501000
1757276429.794640064,2.618000
1757276429.842763662,2.542000
1757276429.894090652,2.434000
1757276429.943057775,2.542000
1757276429.994251966,2.526000
1757276430.043270350,2.586000
1757276430.094166517,2.607000
1757276430.143380165,2.528000
1757276430.194675207,2.528000
1757276430.244315147,2.524000
1757276430.294806480,2.527000
1757276430.344374418,2.557000
1757276430.395088434,2.529000
1757276430.444375277,2.527000
1757276430.494852543,2.589000
1757276430.544124365,2.625000
1757276430.594832420,1.866000
1757276430.644145489,2.239000
1757276430.695080519,2.491000
1757276430.744579077,2.524000
1757276430.796269655,2.617000
1757276430.844964266,2.602000
1757276430.895572901,2.528000
1757276430.945027351,2.594000
1757276430.995794535,2.590000
1757276431.045171499,2.632000
1757276431.096270800,1.356000
1757276431.145538807,1.942000
1757276431.196665049,-0.316000
1757276431.246186256,-0.159000
1757276431.297017813,-0.088000
1757276431.346153975,-0.001000
1757276431.397405624,1.228000
1757276431.445456743,2.015000
1757276431.496971846,1.227000
1757276431.545854092,1.605000
1757276431.597047091,1.928000
1757276431.645932198,2.141000
1757276431.697206974,2.341000
1757276431.746416807,2.334000
1757276431.797451735,0.188000
1757276431.846541882,1.003000
1757276431.898010254,-0.197000
1757276431.947298765,0.082000
1757276431.998117208,1.283000
1757276432.047398090,1.915000
1757276432.097805500,0.440000
1757276432.147336483,1.000000
1757276432.198102236,1.886000
1757276432.246627808,2.488000
1757276432.298391342,0.178000
1757276432.346970797,0.965000
1757276432.398014784,1.661000
1757276432.447477341,1.332000
1757276432.499211788,0.485000
1757276432.548163652,0.816000
1757276432.599172831,2.084000
1757276432.647561073,2.598000
1757276432.698917866,0.494000
1757276432.748301506,0.995000
1757276432.799172163,0.925000
1757276432.847932339,0.567000
1757276432.898931503,0.767000
1757276432.948638678,0.850000
1757276432.998488426,0.377000
1757276433.049218655,0.562000
1757276433.100460529,0.818000
1757276433.148371458,0.622000
1757276433.199482918,1.003000
1757276433.248567104,0.470000
1757276433.299476385,0.813000
1757276433.348770380,0.419000
1757276433.399616718,0.779000
1757276433.448962927,0.667000
