ros_time_s,Vel_Des
1755900912.676833391,"0.90,2.73"
1755900912.776704788,"0.90,2.73"
1755900912.878647804,"0.90,2.73"
1755900912.976682901,"0.90,2.73"
1755900913.076737881,"0.90,2.73"
1755900913.175263405,"0.90,2.73"
1755900913.278060436,"0.90,2.73"
1755900913.375935793,"0.90,2.73"
1755900913.477555990,"0.90,2.45"
1755900913.575595379,"0.90,2.73"
1755900913.677561045,"0.90,2.73"
1755900913.774608135,"0.90,2.73"
1755900913.878198862,"0.96,2.06"
1755900913.977762222,"1.96,0.91"
1755900914.076936960,"0.90,2.73"
1755900914.176893234,"0.90,2.73"
1755900914.277396917,"0.90,2.73"
1755900914.375887871,"0.90,2.73"
1755900914.477472305,"0.90,2.73"
1755900914.578852177,"0.90,2.73"
1755900914.677918673,"0.94,2.15"
1755900914.777649641,"0.96,2.06"
1755900914.873795748,"0.90,2.73"
1755900914.976751804,"0.93,2.18"
1755900915.076684237,"0.90,2.73"
1755900915.176855803,"0.90,2.73"
1755900915.282397747,"1.92,1.66"
1755900915.382970095,"1.93,1.89"
1755900915.475343943,"1.92,1.65"
1755900915.582213879,"1.93,1.93"
1755900915.676339865,"0.94,2.16"
1755900915.780907869,"1.94,0.90"
1755900915.878111601,"0.92,2.23"
1755900915.977604866,"0.90,2.73"
1755900916.078577518,"0.97,2.08"
1755900916.179550409,"1.80,1.93"
1755900916.279401302,"1.98,0.92"
1755900916.377564430,"0.95,2.12"
1755900916.483004332,"1.20,1.93"
1755900916.580657005,"1.94,0.90"
1755900916.679458141,"0.95,2.04"
1755900916.775551558,"2.35,0.91"
1755900916.880371094,"0.92,1.98"
1755900916.990778923,"1.98,0.92"
1755900917.075979233,"0.90,2.73"
1755900917.177690983,"2.28,0.91"
1755900917.278176785,"1.93,1.23"
1755900917.376045227,"2.09,0.96"
1755900917.477371931,"0.93,2.01"
1755900917.577132463,"2.73,0.90"
1755900917.680341482,"0.90,1.94"
1755900917.780886889,"1.93,0.99"
1755900917.878348351,"2.08,0.97"
1755900917.976068974,"2.73,0.90"
1755900918.080797434,"1.93,0.90"
1755900918.177119255,"2.73,0.90"
1755900918.277898550,"2.73,0.90"
1755900918.378474236,"2.73,0.90"
1755900918.479552269,"1.63,1.92"
1755900918.581138372,"1.93,1.18"
1755900918.677261114,"2.21,0.92"
1755900918.775195837,"2.73,0.90"
1755900918.877783537,"2.50,0.90"
1755900918.972501993,"2.73,0.90"
1755900919.077286005,"2.73,0.90"
1755900919.174804449,"2.73,0.90"
1755900919.276497602,"2.73,0.90"
1755900919.375618458,"2.73,0.90"
1755900919.477948189,"2.73,0.90"
1755900919.572287083,"2.73,0.90"
1755900919.674926519,"2.73,0.90"
1755900919.777390242,"2.73,0.90"
1755900919.876838923,"2.73,0.90"
1755900919.975853205,"2.73,0.90"
1755900920.079151869,"2.73,0.90"
1755900920.174646854,"2.73,0.90"
1755900920.277957439,"2.73,0.90"
1755900920.375993013,"2.73,0.90"
1755900920.475746155,"2.73,0.90"
1755900920.577746391,"2.73,0.90"
1755900920.676106215,"2.73,0.90"
1755900920.775125504,"2.73,0.90"
1755900920.873235464,"2.73,0.90"
1755900920.975411892,"2.73,0.90"
1755900921.078089237,"2.73,0.90"
1755900921.176586390,"2.73,0.90"
1755900921.277691126,"2.73,0.90"
1755900921.375033379,"2.73,0.90"
1755900921.477833509,"2.73,0.90"
1755900921.576306105,"2.73,0.90"
1755900921.676370859,"2.73,0.90"
1755900921.775843859,"2.73,0.90"
1755900921.877397537,"2.73,0.90"
1755900921.976824284,"2.73,0.90"
1755900922.076111794,"2.73,0.90"
1755900922.176267624,"2.73,0.90"
1755900922.277714491,"2.73,0.90"
1755900922.377517223,"2.73,0.90"
1755900922.478574991,"2.73,0.90"
1755900922.576007128,"2.73,0.90"
1755900922.675591946,"2.73,0.90"
1755900922.776997566,"2.73,0.90"
1755900922.875697613,"2.73,0.90"
1755900922.976019859,"2.73,0.90"
1755900923.076251507,"2.73,0.90"
1755900923.176036358,"2.73,0.90"
1755900923.275443792,"2.73,0.90"
1755900923.375914335,"2.73,0.90"
1755900923.476997614,"2.73,0.90"
1755900923.575654507,"2.73,0.90"
1755900923.672410250,"2.73,0.90"
1755900923.776831627,"2.73,0.90"
1755900923.877192974,"2.73,0.90"
1755900923.977375269,"2.73,0.90"
1755900924.077124357,"2.73,0.90"
1755900924.176088810,"2.73,0.90"
1755900924.275786400,"2.73,0.90"
1755900924.377794266,"2.73,0.90"
1755900924.475796938,"2.73,0.90"
1755900924.575566292,"2.73,0.90"
1755900924.675484419,"2.73,0.90"
1755900924.776350737,"2.73,0.90"
1755900924.879077435,"2.08,0.97"
1755900924.980850220,"1.94,0.90"
1755900925.078309059,"1.95,0.90"
1755900925.176694632,"2.05,0.95"
1755900925.276964188,"2.02,0.94"
1755900925.377025604,"2.43,0.90"
1755900925.477632046,"2.00,0.93"
1755900925.579313755,"0.90,1.95"
1755900925.678965330,"1.53,1.93"
1755900925.779818058,"1.18,1.93"
1755900925.881758690,"1.86,1.93"
1755900925.982533216,"1.93,1.91"
1755900926.075114012,"0.90,2.73"
1755900926.175554514,"0.90,2.73"
1755900926.276547670,"0.90,2.73"
1755900926.381068468,"1.29,1.93"
1755900926.476072550,"0.90,2.73"
1755900926.577529907,"0.96,2.07"
1755900926.676268816,"0.90,2.73"
1755900926.777499914,"0.90,2.73"
1755900926.875499249,"0.90,2.73"
1755900926.978885889,"0.90,2.73"
1755900927.075633526,"0.90,2.73"
1755900927.175148964,"0.90,2.73"
1755900927.277362585,"0.90,2.73"
1755900927.375819683,"0.90,2.73"
