ros_time_s,Vel_Des
1758473378.771328926,"2.83,0.67"
1758473379.072828770,"2.83,0.67"
1758473379.173427105,"2.83,0.67"
1758473379.474512339,"2.83,0.67"
1758473379.573786259,"2.83,0.67"
1758473379.675032854,"2.83,0.67"
1758473379.771924496,"0.67,2.83"
1758473379.872537374,"0.67,2.83"
1758473379.973205566,"2.83,0.67"
1758473380.074481487,"2.83,0.67"
1758473380.173878670,"0.67,2.83"
1758473380.274171114,"0.67,2.83"
1758473380.374942780,"2.83,0.67"
1758473380.475515604,"2.83,0.67"
1758473380.573896885,"2.83,0.67"
1758473380.673670292,"2.83,0.67"
1758473380.772334814,"2.83,0.67"
1758473380.873627186,"2.83,0.67"
1758473381.074787855,"2.83,0.67"
1758473381.175925493,"2.83,0.67"
1758473381.273876667,"2.83,0.67"
1758473381.473792315,"2.83,0.67"
1758473381.576113224,"0.67,2.25"
1758473381.676641464,"2.83,0.67"
1758473381.772275925,"0.67,2.83"
1758473381.868991137,"2.83,0.67"
1758473381.975892067,"0.67,2.83"
1758473382.075395584,"2.83,0.67"
1758473382.179779530,"0.67,1.93"
1758473382.274224997,"2.83,0.67"
1758473382.373299360,"2.00,0.00"
1758473382.473315239,"2.00,0.00"
1758473382.574231625,"2.00,0.00"
1758473382.676545143,"2.83,0.67"
1758473382.872905731,"2.83,0.67"
1758473382.975392103,"2.83,0.67"
1758473383.074117422,"2.83,0.67"
1758473383.175565720,"2.83,0.67"
1758473383.274135351,"2.83,0.67"
1758473383.374688625,"2.83,0.67"
1758473383.476199865,"2.83,0.67"
1758473383.574212551,"2.83,0.67"
1758473383.673879623,"2.83,0.67"
1758473383.774129868,"2.83,0.67"
1758473383.873382568,"0.67,2.83"
1758473383.975388765,"2.83,0.67"
1758473384.074485064,"2.83,0.67"
1758473384.177348852,"2.83,0.67"
1758473384.275584459,"0.67,2.83"
1758473384.374974251,"2.83,0.67"
1758473384.476624489,"2.83,0.67"
1758473384.570647717,"2.83,0.67"
1758473384.674903154,"2.83,0.67"
1758473384.771362782,"2.83,0.67"
1758473384.875364542,"2.83,0.67"
1758473384.975058794,"2.83,0.67"
1758473385.074785471,"2.83,0.67"
1758473385.175213099,"2.83,0.67"
1758473385.274360657,"2.83,0.67"
1758473385.374141932,"2.83,0.67"
1758473385.474605560,"2.83,0.67"
1758473385.571299791,"2.83,0.67"
1758473385.676337242,"2.83,0.67"
1758473385.773173809,"2.83,0.67"
1758473385.874472141,"2.00,0.00"
1758473385.974205017,"2.00,0.00"
1758473386.070159674,"2.00,0.00"
1758473386.175028801,"2.83,0.67"
1758473386.274629593,"2.83,0.67"
1758473386.374590874,"2.83,0.67"
1758473386.473246098,"0.67,2.83"
1758473386.574743271,"2.83,0.67"
1758473386.674115419,"2.83,0.67"
1758473386.773536205,"2.83,0.67"
1758473386.874383688,"2.83,0.67"
1758473386.974158287,"2.83,0.67"
1758473387.071185350,"2.83,0.67"
1758473387.175376415,"2.83,0.67"
1758473387.274331093,"0.67,2.83"
1758473387.375228167,"2.83,0.67"
1758473387.474250555,"2.83,0.67"
1758473387.577023506,"2.83,0.67"
1758473387.674480677,"2.83,0.67"
1758473387.775840044,"2.83,0.67"
1758473387.868315697,"2.83,0.67"
1758473387.974255800,"2.83,0.67"
1758473388.080255985,"2.83,0.67"
1758473388.175259590,"2.83,0.67"
1758473388.273946762,"2.83,0.67"
1758473388.374084234,"2.83,0.67"
1758473388.474817276,"2.83,0.67"
1758473388.575418949,"2.83,0.67"
1758473388.670754671,"2.83,0.67"
1758473388.774971485,"2.83,0.67"
1758473388.872557640,"2.83,0.67"
1758473388.974409819,"2.83,0.67"
1758473389.073532343,"2.83,0.67"
1758473389.173851728,"2.83,0.67"
1758473389.274656057,"2.83,0.67"
1758473389.375241041,"2.83,0.67"
1758473389.468988657,"2.83,0.67"
1758473389.575009108,"2.83,0.67"
1758473389.673626900,"2.83,0.67"
1758473389.775552988,"2.83,0.67"
1758473389.876266241,"2.83,0.67"
1758473389.975862503,"2.83,0.67"
1758473390.073919296,"2.83,0.67"
1758473390.175585270,"2.83,0.67"
1758473390.275038004,"2.83,0.67"
1758473390.374486923,"2.83,0.67"
1758473390.478188515,"2.83,0.67"
1758473390.574921846,"2.83,0.67"
1758473390.673883438,"2.83,0.67"
1758473390.775437355,"2.83,0.67"
1758473390.874751568,"2.83,0.67"
1758473390.976529121,"2.83,0.67"
1758473391.074210405,"2.83,0.67"
1758473391.175568104,"2.83,0.67"
1758473391.275202513,"2.83,0.67"
1758473391.375849247,"2.83,0.67"
1758473391.474582434,"2.83,0.67"
1758473391.575141907,"2.83,0.67"
1758473391.673975706,"2.83,0.67"
1758473391.774831533,"2.83,0.67"
1758473391.876927376,"2.83,0.67"
1758473391.975823879,"2.83,0.67"
1758473392.076236248,"2.83,0.67"
1758473392.170899153,"2.83,0.67"
1758473392.273350000,"2.83,0.67"
1758473392.374471426,"2.83,0.67"
1758473392.473728657,"2.83,0.67"
1758473392.576455593,"2.83,0.67"
1758473392.675964594,"2.83,0.67"
1758473392.776220560,"2.83,0.67"
1758473392.874474049,"2.83,0.67"
1758473392.975946665,"2.83,0.67"
1758473393.074361324,"2.83,0.67"
1758473393.172217131,"2.83,0.67"
1758473393.274408102,"2.83,0.67"
1758473393.375352383,"2.83,0.67"
1758473393.473862648,"2.83,0.67"
1758473393.571084261,"2.83,0.67"
1758473393.674510479,"2.83,0.67"
1758473393.778893232,"2.83,0.67"
1758473393.873596907,"2.83,0.67"
1758473393.974835873,"2.83,0.67"
1758473394.074346542,"2.83,0.67"
1758473394.175116301,"2.83,0.67"
1758473394.275946856,"2.83,0.67"
1758473394.375682831,"2.83,0.67"
1758473394.473568439,"2.83,0.67"
1758473394.574105740,"2.83,0.67"
1758473394.673593283,"2.83,0.67"
1758473394.775980473,"2.83,0.67"
1758473394.872611761,"2.83,0.67"
1758473394.973533392,"2.83,0.67"
1758473395.074813843,"2.83,0.67"
1758473395.475037336,"0.67,2.83"
1758473395.575823069,"0.67,2.83"
1758473395.676809072,"2.83,0.67"
1758473395.773736238,"2.83,0.67"
1758473395.873029470,"2.83,0.67"
1758473395.972898006,"2.83,0.67"
1758473396.075113297,"2.83,0.67"
1758473396.173876286,"2.83,0.67"
1758473396.372477770,"0.67,2.83"
1758473396.473453522,"2.83,0.67"
1758473396.676474333,"2.83,0.67"
1758473396.773980141,"2.83,0.67"
1758473396.874200821,"2.83,0.67"
1758473396.974154234,"2.83,0.67"
1758473397.072562218,"2.83,0.67"
1758473397.174625397,"2.83,0.67"
1758473397.274663210,"2.83,0.67"
1758473397.375830412,"2.83,0.67"
1758473397.473492622,"2.83,0.67"
1758473397.575361490,"2.83,0.67"
1758473397.675772190,"2.83,0.67"
1758473397.773811817,"2.83,0.67"
1758473397.873394012,"2.83,0.67"
1758473397.974968672,"2.83,0.67"
1758473398.074645996,"2.83,0.67"
1758473398.174043179,"2.83,0.67"
1758473398.272741079,"2.83,0.67"
1758473398.372878551,"2.83,0.67"
1758473398.473399401,"2.83,0.67"
1758473398.573143482,"2.83,0.67"
1758473398.672017813,"2.83,0.67"
1758473398.773449421,"2.83,0.67"
1758473398.874133348,"2.83,0.67"
1758473398.972026110,"2.83,0.67"
1758473399.073532581,"2.83,0.67"
1758473399.171808720,"2.83,0.67"
1758473399.275003195,"2.83,0.67"
1758473399.371957779,"2.83,0.67"
1758473399.473402739,"2.83,0.67"
1758473399.573104858,"2.83,0.67"
1758473399.672968388,"2.83,0.67"
1758473399.773160219,"2.83,0.67"
1758473399.868292809,"2.83,0.67"
1758473399.972880840,"2.83,0.67"
1758473400.074544191,"2.83,0.67"
1758473400.168965340,"2.83,0.67"
1758473400.271979332,"2.83,0.67"
1758473400.373770714,"2.83,0.67"
1758473400.475019217,"2.83,0.67"
1758473400.575686932,"2.83,0.67"
1758473400.673745394,"2.83,0.67"
1758473400.772687197,"2.83,0.67"
1758473400.873128414,"2.83,0.67"
1758473400.973005295,"2.83,0.67"
1758473401.073748827,"2.83,0.67"
1758473401.173413515,"2.83,0.67"
1758473401.272947788,"2.83,0.67"
1758473401.371790171,"2.83,0.67"
1758473401.470865965,"2.83,0.67"
1758473401.573046446,"2.83,0.67"
1758473401.673664093,"2.83,0.67"
1758473401.772154808,"2.83,0.67"
1758473401.872638226,"2.83,0.67"
1758473401.974827528,"2.83,0.67"
1758473402.071935415,"2.83,0.67"
1758473402.172745705,"2.83,0.67"
1758473402.273018360,"2.83,0.67"
1758473402.372189760,"2.83,0.67"
1758473402.472779036,"2.83,0.67"
1758473402.571781397,"2.83,0.67"
1758473402.670808315,"2.83,0.67"
1758473402.772845030,"2.83,0.67"
1758473402.872703075,"2.83,0.67"
1758473402.973733187,"2.83,0.67"
1758473403.073842525,"2.83,0.67"
1758473403.172989130,"2.83,0.67"
1758473403.272983313,"2.83,0.67"
1758473403.373773336,"2.83,0.67"
1758473403.473705530,"2.83,0.67"
1758473403.572690010,"2.83,0.67"
1758473403.673976898,"2.83,0.67"
1758473403.771087170,"2.83,0.67"
1758473403.873363018,"2.83,0.67"
1758473403.972187996,"2.83,0.67"
1758473404.071961880,"2.83,0.67"
1758473404.171530724,"2.83,0.67"
1758473404.273566961,"2.83,0.67"
1758473404.373021841,"2.83,0.67"
1758473404.472309589,"2.83,0.67"
1758473404.571999311,"2.83,0.67"
1758473404.673049450,"2.83,0.67"
1758473404.774903059,"2.83,0.67"
1758473404.873496056,"2.83,0.67"
1758473404.970102310,"2.83,0.67"
1758473405.068754196,"2.83,0.67"
1758473405.172169447,"2.83,0.67"
1758473405.269896746,"2.83,0.67"
1758473405.373781919,"2.83,0.67"
1758473405.471842527,"2.83,0.67"
1758473405.569518089,"2.83,0.67"
1758473405.671428680,"2.83,0.67"
1758473405.768000364,"2.83,0.67"
1758473405.878843307,"1.75,1.93"
1758473405.969706059,"2.83,0.67"
1758473406.071041822,"2.83,0.67"
1758473406.168860674,"2.83,0.67"
1758473406.269609451,"2.83,0.67"
1758473406.370361567,"2.83,0.67"
1758473406.468433857,"2.83,0.67"
1758473406.567820787,"2.83,0.67"
1758473406.669091225,"2.83,0.67"
1758473406.775395393,"2.83,0.67"
1758473406.867613792,"2.83,0.67"
1758473406.970710039,"2.83,0.67"
1758473407.079484940,"2.83,0.67"
1758473407.167572737,"2.83,0.67"
1758473407.276536465,"2.83,0.67"
1758473407.368575811,"2.83,0.67"
1758473407.470307827,"2.83,0.67"
1758473407.568948030,"2.83,0.67"
1758473407.667822599,"2.83,0.67"
1758473407.770311594,"2.83,0.67"
1758473407.869315386,"2.83,0.67"
1758473407.968641043,"2.83,0.67"
1758473408.070909977,"2.83,0.67"
1758473408.171104670,"2.83,0.67"
1758473408.273603439,"2.83,0.67"
1758473408.369529486,"2.83,0.67"
1758473408.470345259,"2.83,0.67"
1758473408.568158865,"2.83,0.67"
1758473408.670283556,"2.83,0.67"
1758473408.769637108,"2.83,0.67"
1758473408.870465755,"2.83,0.67"
1758473408.970042229,"2.83,0.67"
1758473409.069008827,"2.83,0.67"
1758473409.173063517,"2.83,0.67"
1758473409.267605305,"2.83,0.67"
1758473409.367230892,"2.83,0.67"
1758473409.468219280,"2.83,0.67"
